% Model:              xy - DO NOT TOUCH - Copy.mph
% Version:            COMSOL 5.5.0.359
% Date:               Aug 4 2020, 14:13
% Table:              Table 1 - Global Evaluation 1
% freq (GHz)             Imag Y11                 Real Y11 (1)
5.984                    -1.6728451743516868E-5   1.3217083697521618E-8
5.988                    -1.2723897171498192E-5   1.3235040009116235E-8
5.992                    -8.721975723930634E-6    1.3253009076875606E-8
5.996                    -4.7226820365352945E-6   1.3270990908016264E-8
6                        -7.260107592909661E-7    1.3288985508158788E-8
6.0040000000000004       3.268043443643495E-6     1.3306992869462284E-8
6.008                    7.259485893961696E-6     1.3325013000392285E-8
6.0120000000000005       1.1248321899257844E-5    1.3343045897895742E-8
6.016                    1.5234556753081826E-5    1.3361091569119793E-8
6.0200000000000005       1.9218195734978672E-5    1.3379150021350359E-8
6.024                    2.319924411053019E-5     1.3397221232729962E-8
6.0280000000000005       2.7177707131416547E-5    1.3415305227475442E-8
6.032                    3.1153590035452264E-5    1.3433401997607133E-8
6.0360000000000005       3.5126898046632625E-5    1.3451511553255898E-8
6.04                     3.9097636375174435E-5    1.346963387811539E-8
6.044000000000001        4.306581021757804E-5     1.3487768994806497E-8
6.048                    4.703142475665466E-5     1.3505916893684217E-8
6.0520000000000005       5.09944851615797E-5      1.3524077573569008E-8
6.056                    5.495499658794353E-5     1.3542251045285623E-8
6.060000000000001        5.891296417778833E-5     1.3560437305781017E-8
6.064                    6.286839305963887E-5     1.3578636350475587E-8
6.0680000000000005       6.682128834859099E-5     1.3596848186447078E-8
6.072                    7.077165514630729E-5     1.3615072825005976E-8
6.076000000000001        7.471949854108255E-5     1.3633310246862197E-8
6.08                     7.866482360789758E-5     1.3651560473457027E-8
6.0840000000000005       8.260763540844434E-5     1.3669823495006679E-8
6.088                    8.65479389911797E-5      1.3688099317825626E-8
6.092000000000001        9.048573939136103E-5     1.370638794094249E-8
6.096                    9.442104163110907E-5     1.3724689372198305E-8
6.1000000000000005       9.835385071942137E-5     1.3743003603544013E-8
6.104                    1.0228417165223953E-4    1.3761330638726688E-8
6.108000000000001        1.0621200941248778E-4    1.3779670484199586E-8
6.112                    1.101373689700977E-4     1.3798023140032165E-8
6.1160000000000005       1.1406025528207546E-4    1.3816388605322435E-8
6.12                     1.179806732925291E-4     1.3834766877641855E-8
6.124000000000001        1.2189862793271933E-4    1.3853157968717238E-8
6.128                    1.2581412412108724E-4    1.3871561878062936E-8
6.132000000000001        1.2972716676331328E-4    1.3889978604430013E-8
6.136                    1.336377607523468E-4     1.3908408149275714E-8
6.1400000000000015       1.3754591096845495E-4    1.3926850519261451E-8
6.144                    1.414516222792571E-4     1.3945305702036054E-8
6.148000000000001        1.4535489953977198E-4    1.3963773714044791E-8
6.152                    1.492557475924589E-4     1.3982254552026447E-8
6.1560000000000015       1.5315417126725338E-4    1.4000748219242382E-8
6.16                     1.5705017538160653E-4    1.4019254712917102E-8
6.164000000000001        1.6094376474053672E-4    1.4037774034577242E-8
6.168                    1.648349441366586E-4     1.4056306195810837E-8
6.1720000000000015       1.687237183502291E-4     1.4074851183156486E-8
6.176                    1.726100921491812E-4     1.4093409010006347E-8
6.180000000000001        1.7649407028917262E-4    1.4111979666437859E-8
6.184                    1.803756575136286E-4     1.4130563171186132E-8
6.1880000000000015       1.8425485855375632E-4    1.4149159508638703E-8
6.192                    1.881316781286173E-4     1.416776869669802E-8
6.196000000000001        1.9200612094514473E-4    1.4186390721000618E-8
6.2                      1.9587819169818816E-4    1.4205025588832424E-8
